name_short,description,weapons,consumption,wc_wound,fail_text,count
Lockerer Boden,Der Boden besteht aus morschen Metallplatten lockerem Stein oder verfaultem Holz. Beim schnellen Bewegen brechen einzelne Bereiche plötzlich weg. Wer scheitert stürzt zu Boden oder hängt gefährlich an einer Kante.,Athletik,Angeschlagen,FALSE,Am Boden,4
Verdeckte Fallgrube,Unter Staub Teppichen oder Schrott verbirgt sich eine tiefe Grube. Oft sind am Boden alte Spieße Schrott oder Säurebecken angebracht. Ein Held kann die Falle rechtzeitig erkennen oder im letzten Moment abspringen.,"Wahrnehmung, Athletik",,FALSE,2W6 Fallschaden,2
Geplatzte Dampfleitung,Alte Rohre bersten plötzlich mit lautem Zischen. Heißer Dampf schießt durch den Raum und nimmt kurzzeitig die Sicht. Metallflächen werden glühend heiß und erschweren jede Bewegung.,Geschicklichkeit,,FALSE,2W6 Hitzeschaden,2
Elektrifizierter Boden,Defekte Kabel oder Energieleitungen haben den Boden unter Strom gesetzt. Funken springen zwischen Metallteilen hin und her. Besonders gefährlich für Helden in schwerer Metallrüstung oder mit nasser Kleidung.,"Reparieren, Athletik",Angeschlagen,FALSE,1W6 Schaden,4
Giftige Sporenwolke,Dicke Pilzkolonien oder alchemistische Pflanzen stoßen beim Kontakt giftige Sporen aus. Die Luft färbt sich grünlich oder violett. Betroffene husten verlieren Orientierung oder werden schwächer.,Konstitution,,FALSE,Erschöpfung,1
Herabfallende Trümmer,Der Raum ist instabil. Durch Erschütterungen lösen sich Steine Metallteile oder schwere Maschinenstücke von der Decke. Ein lautes Knacken kündigt den Einsturz oft nur Sekunden vorher an.,Athletik,,FALSE,2W6 Schaden,3
Rotierende Klingenfalle,Versteckte Mechanismen aktivieren schnell rotierende Klingen aus Wänden oder Boden. Manche schneiden nur kurz hervor andere blockieren den gesamten Gang wie ein tödliches Zahnradwerk.,Geschicklichkeit,,FALSE,2W6 Schaden,1
Verriegelte Sicherheitstür,Massive Sicherheitsmechanismen blockieren den Weg. Alte Terminals blinken rot Zahnräder verkeilen sich oder schwere Schleusen klemmen fest. Gewalt erzeugt oft zusätzlichen Lärm.,"Stärke, Reparieren",,FALSE,Zeitverlust / Alarm,1
Ölverschmierter Boden,Schwarzes Öl oder schleimige Chemikalien bedecken den Boden. Jede schnelle Bewegung wird gefährlich. Zusätzlich besteht Brandgefahr falls Feuer oder Funken ins Spiel kommen.,Athletik,Verwundbar,TRUE,Am Boden,2
Druckplatten- falle,Unscheinbare Bodenplatten lösen Armbrüste Pfeilsalven oder Speermechanismen aus. Manche Fallen sind alt und unpräzise andere wirken noch überraschend präzise und tödlich.,Wahrnehmung,,FALSE,Pfeilsalve 2W6,3
Einsturzge- fährdeter Gang,Der Gang reagiert empfindlich auf laute Geräusche oder Erschütterungen. Rennen Explosionen oder schwere Rüstungen können Teile der Decke einstürzen lassen und den Weg blockieren.,Heimlichkeit,,FALSE,Decke stürzt teilweise ein,4
Blendlicht- Falle,Alte Sicherheitslampen oder magische Kristalle explodieren plötzlich in grellem Licht. Helden verlieren kurzzeitig Orientierung und sehen nur verschwommene Schatten.,Konstitution,,FALSE,Geblendet für 1 Runde (-4 Sicht),2
Magisches Schutzfeld,Ein pulsierendes Energiefeld versperrt den Weg. Runen oder schwebende Symbole reagieren aggressiv auf Annäherung. Falsche Berührung löst einen magischen Gegenschlag aus.,Zaubern,,FALSE,2W6 Energieschaden,1
Rauchgefüllter Raum,Dichter Rauch aus Bränden Chemikalien oder Maschinen füllt den Raum. Sicht und Atmung werden erschwert. Geräusche wirken dumpf und Gegner können sich leichter verstecken.,Konstitution,,FALSE,-2 auf Aktionen,2
Schwere Schleusentür,Die uralte Schleuse bewegt sich nur langsam oder bleibt plötzlich stecken. Während die Helden versuchen sie zu öffnen steigt der Druck oder etwas nähert sich von hinten.,Stärke,,FALSE,Eingeschlossen,0
Vereister Boden,Kälteanlagen oder magische Frostfelder haben den Boden spiegelglatt gefroren. Atem wird sichtbar Metall friert fest und Bewegungen werden unkontrollierbar.,Athletik,,TRUE,Sturz,2
Säureleck,Beschädigte Behälter oder Rohre verlieren ätzende Flüssigkeit. Der Boden raucht leicht und Metall wird langsam zerfressen. Schon kleine Spritzer können gefährlich werden.,Geschicklichkeit,,FALSE,2W4 Schaden ignoriert 2 Rüstung,2
Goblin- Alarmdraht,Dünne Drähte oder primitive Glockensysteme wurden von Goblins gespannt. Die Fallen sind oft improvisiert aber effektiv genug um ganze Räume zu alarmieren.,Wahrnehmung,,FALSE,Gegner werden alarmiert,4
Mechanische Greifarme,Alte Fabrikarme oder Wartungsmaschinen erwachen plötzlich zum Leben. Sie packen Eindringlinge halten sie fest oder schleudern sie gegen Wände.,Athletik,Festgehalten,FALSE,,1
Dunkler Schacht,Ein tiefer Versorgungsschacht oder Wartungstunnel verschwindet in absoluter Dunkelheit. Geräusche hallen seltsam wider und lose Kanten machen jeden Schritt riskant.,Wahrnehmung,,FALSE,Überraschungs- nachteil,2
Schwingende Pendelklingen,Große Metallklingen schwingen rhythmisch durch den Gang. Das Timing ist entscheidend um unbeschadet hindurchzukommen. Ein Fehlschlag führt zu schweren Schnittverletzungen.,Geschicklichkeit,Angeschlagen,FALSE,2W6 Schaden,1
Instabile Hängebrücke,Eine alte Brücke aus Seilen oder Metallstreben spannt sich über einen tiefen Abgrund. Einzelne Teile brechen unter Gewicht oder schnellen Bewegungen plötzlich weg.,Athletik,Festgehalten,FALSE,Am Boden,0
Druckkammer,Beim Betreten verriegeln sich die Türen und der Luftdruck steigt gefährlich an. Ohren schmerzen Atmung fällt schwer und lose Gegenstände beginnen durch den Raum zu fliegen.,Konstitution,,FALSE,1 Stufe Ermüdung,1
Flammenwerfer- Düsen,Versteckte Düsen in Wänden oder Statuen speien plötzlich Feuerstrahlen aus. Verrußte Wände und verbrannte Skelette geben oft einen Hinweis auf die Gefahr.,Geschicklichkeit,,FALSE,2W6 Feuerschaden,1
Vergiftete Wassergrube,Eine scheinbar harmlose Wasserfläche ist mit Chemikalien oder Pilzgiften verseucht. Schon kurzer Kontakt verursacht Schwindel Schwäche oder Halluzinationen.,Konstitution,Angeschlagen,FALSE,Erschöpfung,1
Magnetischer Korridor,Starke Magnetfelder ziehen Metallwaffen und Rüstungen plötzlich gegen Wände oder Boden. Bewegungen werden erschwert und Ausrüstung kann verloren gehen.,Stärke,,TRUE,Waffe verloren,1
Runen der Angst,Leuchtende Symbole an Wänden oder Boden lösen intensive Angstvisionen aus. Schatten wirken lebendig und alte Stimmen flüstern durch den Raum.,Willenskraft,Angeschlagen,FALSE,Shaken,1
Verfluchtes Glockenspiel,Beim Durchqueren lösen dünne Drähte ein altes Glockensystem aus. Der Klang verursacht Desorientierung und alarmiert gleichzeitig Gegner in der Nähe.,Wahrnehmung,,FALSE,"Gegner alarmiert, -2 auf Wahrnehmung",2
Schnappende Wartungsluken,Automatische Wartungsklappen öffnen und schließen sich plötzlich mit enormer Kraft. Wer eingeklemmt wird riskiert schwere Verletzungen.,Geschicklichkeit,Festgehalten,FALSE,2W4 Schaden,2
Schattenzone,Ein Bereich absoluter Dunkelheit verschluckt Licht und Geräusche. Orientierung fällt schwer und manche Helden glauben Bewegungen im Schatten zu erkennen.,"Wahrnehmung, Konstitution",,FALSE,-2 auf alle Aktionen für 1 Runde,1